"jobId","benefits","company_size","industry","processed_date","remote_status","requirements","salary_mentioned","salary_range","seniority_level","skills","technologies"
"muse-18310662","[{""S"":""competitive total compensation package""},{""S"":""remote and flexible working""},{""S"":""health benefits""}]","Medium","IoT/Technology","2025-10-05T18:39:03.180Z","Remote","[{""S"":""Bachelor's degree or higher in technical discipline""},{""S"":""1-3 years experience in technical product support role""},{""S"":""French fluency required""},{""S"":""Ability to work flexible hours - nights and weekends""}]","false","null","Entry","[{""S"":""technical support""},{""S"":""customer-facing skills""},{""S"":""communication skills""},{""S"":""troubleshooting""},{""S"":""French fluency""}]","[{""S"":""saas""},{""S"":""iot""},{""S"":""cloud applications""},{""S"":""mobile computing""},{""S"":""gps""},{""S"":""telematics""}]"
"muse-18249347","[]","Large","manufacturing/technology","2025-10-05T18:38:17.328Z","Hybrid","[{""S"":""college, university, or equivalent degree in computer science, information technology, business, or related subject, or relevant equivalent experience required""},{""S"":""certification in oracle planning & collaboration cloud implementation professional required""},{""S"":""certification in oracle demantra or oracle advanced supply chain planning highly beneficial""},{""S"":""3+ years implementation experience in oracle planning cloud solutions""},{""S"":""5+ years system analysis and design experience""},{""S"":""experience in full software development lifecycle process""},{""S"":""experience delivering solutions via agile methodologies preferred""}]","false","null","Senior","[{""S"":""expertise in oracle planning cloud""},{""S"":""demand planning""},{""S"":""s&op software applications""},{""S"":""technical domain knowledge""},{""S"":""strong system analysis and design capabilities""},{""S"":""excellent written and verbal communication skills""},{""S"":""ability to manage projects and deliver solutions using agile methodologies""}]","[{""S"":""oracle planning cloud""},{""S"":""oracle demantra""},{""S"":""oracle advanced supply chain planning""},{""S"":""agile""}]"
"muse-14107083","[]","Large","edtech/education technology","2025-10-05T18:31:44.623Z","Remote","[{""S"":""bachelor's degree in computer science or related field""},{""S"":""2+ years erp experience""},{""S"":""3+ years etl and sql server database development experience""}]","true","""$90,000/year""","Mid","[{""S"":""etl development""},{""S"":""sql development""},{""S"":""stored procedures""},{""S"":""performance tuning""},{""S"":""code profiling""},{""S"":""data migration""},{""S"":""relational modeling""},{""S"":""dimensional modeling""}]","[{""S"":""sql server""},{""S"":""ssrs""},{""S"":""ssis""},{""S"":""ssas""},{""S"":""azure sql""},{""S"":""azure data factory""},{""S"":""devops""}]"
"muse-16238396","[{""S"":""mental health support""},{""S"":""EAP""},{""S"":""Mindfulness Apps""},{""S"":""well-being education""},{""S"":""quarterly initiatives""}]","Large","technology/ai","2025-10-05T18:32:55.882Z","Remote","[{""S"":""No professional experience required""},{""S"":""Full professional proficiency in English and Spanish""},{""S"":""Familiarity with Peruvian business/media/sport/news/social media/cultural affairs""},{""S"":""Active use of Gmail, Google+, social media""},{""S"":""Daily broadband internet access""},{""S"":""Smartphone (Android 4.1/iOS 8+)""},{""S"":""Personal computer with antivirus""},{""S"":""Barcode Scanner app""}]","false","null","Entry","[{""S"":""communication skills""},{""S"":""English proficiency""},{""S"":""Spanish proficiency""},{""S"":""cultural awareness""},{""S"":""web browsing""},{""S"":""social media use""}]","[{""S"":""gmail""},{""S"":""google+""},{""S"":""android""},{""S"":""ios""},{""S"":""barcode scanner""}]"
"muse-15987056","[{""S"":""unlimited paid day off""},{""S"":""health plans""},{""S"":""401k with company match""},{""S"":""dental""},{""S"":""vision""},{""S"":""disability""},{""S"":""life insurance""},{""S"":""ad&d""},{""S"":""flexible spending accounts""},{""S"":""fitness centers""},{""S"":""wellness program""},{""S"":""flexible work schedule""}]","Large","managed IT services/technology","2025-10-05T18:31:44.623Z","Hybrid","[{""S"":""10+ years experience with multiple linux operating systems""},{""S"":""knowledge of networking, storage, security, virtualization, clustering and high availability concepts""},{""S"":""knowledge of system administrative practices in large scale data center environments""},{""S"":""working knowledge of zvm""},{""S"":""experience with supporting zlinux systems through 3270 console""},{""S"":""experience managing physical volumes, logical volumes and filesystems""}]","false","null","Lead","[{""S"":""linux administration""},{""S"":""high availability configuration""},{""S"":""system performance analysis""},{""S"":""server security""},{""S"":""patch management""},{""S"":""networking""},{""S"":""storage""},{""S"":""virtualization""},{""S"":""clustering""},{""S"":""incident management""},{""S"":""change management""},{""S"":""problem management""}]","[{""S"":""linux""},{""S"":""red hat""},{""S"":""sles""},{""S"":""zvm""},{""S"":""lvm""},{""S"":""vxvm""},{""S"":""zfs""}]"
"muse-18068644","[]","Enterprise","insurance","2025-10-05T18:35:53.315Z","Not specified","[{""S"":""4 year bachelors degree preferred""},{""S"":""3 or more years of experience preferred""}]","true","""$85,600.00 - $152,650.00 annually""","Senior","[{""S"":""computer programming""},{""S"":""computer science""},{""S"":""continuous delivery""},{""S"":""continuous deployment""},{""S"":""continuous integrations""},{""S"":""object-oriented design""},{""S"":""object-oriented programming""},{""S"":""pair programming""},{""S"":""software development life cycle""}]","[{""S"":""aws connect""},{""S"":""aws lambdas""},{""S"":""lex""},{""S"":""java""},{""S"":""spring""},{""S"":"".net""},{""S"":""ruby""},{""S"":""python""},{""S"":""golang""},{""S"":""javascript""}]"
"muse-18302251","[{""S"":""learning programs""},{""S"":""certifications""},{""S"":""volunteering platform""},{""S"":""employee referral program""}]","Enterprise","IT services","2025-10-05T18:39:03.180Z","Not specified","[{""S"":""Minimum 6+ years experience in z/OS System Administration""},{""S"":""Bachelor's degree in computer science or related field""},{""S"":""SME for MF ZOS system programming problem determination""}]","false","null","Senior","[{""S"":""z/OS system administration""},{""S"":""performance management""},{""S"":""root cause analysis""},{""S"":""disaster recovery planning""},{""S"":""technical consultation""},{""S"":""problem management""}]","[{""S"":""z/os""},{""S"":""unix system services""},{""S"":""smp/e""},{""S"":""rexx""},{""S"":""java""},{""S"":""vsam""},{""S"":""brms""},{""S"":""tape management""},{""S"":""atl/vtl""}]"
"muse-18310249","[{""S"":""comprehensive benefits package""},{""S"":""incentive programs""},{""S"":""recognition programs""},{""S"":""equity stock purchase""},{""S"":""401k contribution""}]","Large","Healthcare","2025-10-05T18:39:03.180Z","On-site","[{""S"":""Board-Certified MOHS Surgeon""},{""S"":""Completion of ACMS fellowship""},{""S"":""Ability to obtain medical professional license in WA""},{""S"":""Ability to obtain DEA with full prescriptive authority""}]","true","""$360,000 to $672,500 annually""","Senior","[{""S"":""MOHS surgery""},{""S"":""dermatology""},{""S"":""patient care""},{""S"":""surgical procedures""}]","[]"
"muse-17766760","[{""S"":""comprehensive health benefits coverage after 30 days""},{""S"":""401k with company match""},{""S"":""employee stock purchase plan""},{""S"":""opportunities for growth and development""},{""S"":""company paid training and tuition reimbursement""}]","Large","environmental services","2025-10-05T18:35:05.234Z","On-site","[{""S"":""class b cdl""},{""S"":""obtain hazmat and tanker endorsements within 90 days of employment""},{""S"":""successfully complete a background check, drug test, and physical""}]","true","$75k-$80k","Mid","[{""S"":""leadership experience""},{""S"":""intermediate computer skills""},{""S"":""excellent customer service skills""},{""S"":""excellent organization and attention to detail""},{""S"":""perform physical functions per job requirements""}]","[]"
"muse-17598682","[{""S"":""learning programs""},{""S"":""certifications""},{""S"":""volunteering platform""},{""S"":""employee referral program""}]","Large","enterprise software","2025-10-05T18:33:58.802Z","Not specified","[{""S"":""3+ years Workday HCM integration experience""},{""S"":""proficiency with Workday integration tools""},{""S"":""system integration skills""},{""S"":""knowledge of programming languages""},{""S"":""API integration experience""},{""S"":""database concepts understanding""},{""S"":""security protocols knowledge""}]","false","null","Mid","[{""S"":""Workday HCM integrations""},{""S"":""integration design""},{""S"":""data mapping""},{""S"":""transformation rules""},{""S"":""API development""},{""S"":""integration testing""},{""S"":""troubleshooting""},{""S"":""documentation""},{""S"":""change management""},{""S"":""performance monitoring""},{""S"":""security compliance""}]","[{""S"":""workday""},{""S"":""eib""},{""S"":""wws""},{""S"":""rest""},{""S"":""soap""},{""S"":""xslt""},{""S"":""javascript""},{""S"":""groovy""},{""S"":""xml""},{""S"":""json""},{""S"":""csv""},{""S"":""sql""},{""S"":""oauth""},{""S"":""saml""}]"
